captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band,days_observed,eligible_for_funnel,AADHAAR_cleared,DL_cleared,FITNESS_cleared,INSURANCE_cleared,PERMIT_cleared,RC_cleared,decision_ts,final_status,last_stage_reached,docs_cleared,first_order_ts,orders_d7,orders_d30,online_hours_d30,signup_to_approval_days,approval_to_first_order_days
CPT100037,2026-01-01 08:38:00,Delhi,Auto,fos_field,DEL-Z15,low,te,18-24,180.6402662037037,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT110674,2026-01-01 08:39:00,Delhi,ERickshaw,paid_digital,DEL-Z19,high,te,18-24,180.63957175925927,True,True,True,True,False,False,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT123379,2026-01-01 08:42:00,Delhi,ERickshaw,organic_app,DEL-Z18,low,hi,25-34,180.63748842592594,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT122382,2026-01-01 08:54:00,Pune,Auto,organic_app,PUN-Z12,low,hi,25-34,180.62915509259258,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT112371,2026-01-01 09:00:00,Pune,Auto,referral,PUN-Z05,low,mr,35-44,180.62498842592592,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT115782,2026-01-01 09:10:00,Delhi,ERickshaw,paid_digital,DEL-Z15,mid,en,45+,180.6180439814815,True,True,True,True,True,False,True,2026-01-07 21:52:09.682255462,approved,,5,2026-01-10 11:14:57.939110321,9.0,31.0,20.2,6.529278729808588,2.5575029728571645
CPT115990,2026-01-01 09:18:00,Hyderabad,Auto,fos_field,HYD-Z11,mid,hi,18-24,180.61248842592593,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT117042,2026-01-01 09:22:00,Hyderabad,Auto,paid_digital,HYD-Z02,low,en,25-34,180.60971064814814,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT124093,2026-01-01 09:24:00,Hyderabad,Cab,organic_app,HYD-Z13,low,te,45+,180.60832175925927,True,True,True,True,True,True,True,2026-01-08 05:26:43.331649227,approved,,6,2026-01-09 16:35:45.322422039,8.0,13.0,11.4,6.835223745940127,1.4646063746853242
CPT108545,2026-01-01 09:43:00,Delhi,Cab,referral,DEL-Z06,low,kn,25-34,180.59512731481482,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT118819,2026-01-01 09:44:00,Bangalore,Cab,referral,BAN-Z12,low,hi,35-44,180.59443287037038,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT117473,2026-01-01 09:59:00,Bangalore,Auto,organic_app,BAN-Z17,low,te,35-44,180.5840162037037,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT122490,2026-01-01 10:04:00,Hyderabad,Auto,organic_app,HYD-Z13,low,hi,45+,180.58054398148147,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT108728,2026-01-01 10:07:00,Delhi,ERickshaw,organic_app,DEL-Z06,mid,mr,35-44,180.57846064814814,True,True,True,True,False,False,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT111180,2026-01-01 10:12:00,Pune,Cab,gc_telecalling,PUN-Z06,mid,hi,25-34,180.57498842592594,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT104874,2026-01-01 10:23:00,Delhi,ERickshaw,organic_app,DEL-Z05,low,te,25-34,180.56734953703705,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT112334,2026-01-01 10:29:00,Bangalore,ERickshaw,referral,BAN-Z13,mid,te,25-34,180.56318287037038,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT100614,2026-01-01 10:32:00,Pune,Auto,organic_app,PUN-Z18,mid,en,45+,180.56109953703702,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT121214,2026-01-01 11:09:00,Delhi,Auto,referral,DEL-Z09,low,te,35-44,180.53540509259258,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT119518,2026-01-01 11:16:00,Delhi,Cab,referral,DEL-Z15,high,kn,35-44,180.5305439814815,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT104764,2026-01-01 11:21:00,Pune,Auto,fos_field,PUN-Z10,mid,hi,35-44,180.52707175925926,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT101207,2026-01-01 11:31:00,Hyderabad,ERickshaw,fos_field,HYD-Z13,mid,kn,35-44,180.52012731481483,True,True,True,True,True,False,True,2026-01-07 20:41:13.575135833,approved,,5,2026-01-09 18:43:22.114690071,4.0,9.0,6.1,6.3821015640721415,1.9181543929888658
CPT103242,2026-01-01 11:33:00,Delhi,Cab,gc_telecalling,DEL-Z08,low,te,45+,180.51873842592593,True,True,True,True,True,True,True,2026-01-05 21:40:24.347261353,approved,,6,2026-01-06 11:57:58.804450784,6.0,21.0,14.7,4.421809574784178,0.5955376989517477
CPT122017,2026-01-01 11:35:00,Pune,Cab,organic_app,PUN-Z21,mid,en,18-24,180.51734953703703,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT116706,2026-01-01 11:42:00,Bangalore,Cab,gc_telecalling,BAN-Z09,low,kn,25-34,180.51248842592594,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT121842,2026-01-01 11:47:00,Delhi,Auto,organic_app,DEL-Z11,low,kn,25-34,180.5090162037037,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT115555,2026-01-01 11:56:00,Pune,Auto,organic_app,PUN-Z22,low,hi,18-24,180.50276620370371,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT124771,2026-01-01 11:59:00,Hyderabad,Cab,organic_app,HYD-Z16,high,hi,25-34,180.50068287037038,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT123806,2026-01-01 12:24:00,Bangalore,Cab,referral,BAN-Z23,mid,kn,25-34,180.48332175925927,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT103112,2026-01-01 12:31:00,Bangalore,Auto,paid_digital,BAN-Z17,mid,hi,35-44,180.47846064814814,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT124911,2026-01-01 12:37:00,Pune,Auto,referral,PUN-Z16,mid,hi,25-34,180.47429398148148,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT117151,2026-01-01 12:56:00,Delhi,ERickshaw,fos_field,DEL-Z15,low,mr,25-34,180.46109953703703,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT114694,2026-01-01 13:29:00,Delhi,Auto,fos_field,DEL-Z15,high,mr,25-34,180.43818287037038,True,True,True,True,True,True,True,2026-01-06 23:38:02.951913831,approved,,6,,0.0,0.0,0.0,5.4229508323360065,
CPT105361,2026-01-01 13:33:00,Bangalore,Cab,referral,BAN-Z17,low,te,45+,180.4354050925926,True,True,True,True,True,True,True,2026-01-08 03:04:24.548968195,approved,,6,2026-01-09 22:48:15.651117387,10.0,26.0,22.9,6.563478576020775,1.8221192378378706
CPT122754,2026-01-01 13:47:00,Hyderabad,Cab,fos_field,HYD-Z04,mid,mr,25-34,180.42568287037037,True,True,True,True,True,True,True,2026-01-07 04:37:31.812711483,approved,,6,2026-01-09 20:05:19.368696679,4.0,23.0,14.1,5.618423758234757,2.644300416495324
CPT119361,2026-01-01 13:56:00,Delhi,Auto,organic_app,DEL-Z21,low,mr,18-24,180.41943287037037,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT106310,2026-01-01 14:09:00,Delhi,Cab,organic_app,DEL-Z09,mid,hi,25-34,180.41040509259258,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT114983,2026-01-01 14:16:00,Delhi,Auto,organic_app,DEL-Z24,low,hi,18-24,180.4055439814815,True,True,True,True,True,True,True,2026-01-08 12:42:25.654189302,approved,,6,2026-01-09 05:34:18.435413157,6.0,22.0,19.8,6.935019145709514,0.7026942271279514
CPT104354,2026-01-01 14:21:00,Hyderabad,Auto,referral,HYD-Z15,mid,mr,35-44,180.40207175925926,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT124428,2026-01-01 14:29:00,Hyderabad,Auto,organic_app,HYD-Z08,mid,hi,18-24,180.3965162037037,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT118169,2026-01-01 14:31:00,Delhi,ERickshaw,gc_telecalling,DEL-Z03,mid,kn,45+,180.39512731481483,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT108086,2026-01-01 14:39:00,Hyderabad,Cab,organic_app,HYD-Z07,mid,kn,45+,180.38957175925927,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT100865,2026-01-01 14:47:00,Bangalore,Cab,referral,BAN-Z17,low,kn,18-24,180.3840162037037,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT121574,2026-01-01 14:57:00,Hyderabad,ERickshaw,gc_telecalling,HYD-Z18,mid,hi,18-24,180.37707175925925,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT104246,2026-01-01 15:08:00,Hyderabad,Auto,organic_app,HYD-Z17,mid,te,35-44,180.36943287037036,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT105732,2026-01-01 15:35:00,Hyderabad,ERickshaw,paid_digital,HYD-Z09,mid,en,18-24,180.35068287037038,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT118244,2026-01-01 15:41:00,Pune,Auto,organic_app,PUN-Z14,mid,mr,25-34,180.34651620370371,True,True,True,True,True,True,True,2026-01-08 15:56:23.234484889,approved,,6,2026-01-09 20:15:54.262654598,5.0,23.0,18.5,7.010685584315844,1.180220233445706
CPT116214,2026-01-01 15:42:00,Delhi,Cab,fos_field,DEL-Z13,low,te,25-34,180.34582175925925,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT111071,2026-01-01 15:55:00,Bangalore,Auto,fos_field,BAN-Z22,low,mr,25-34,180.3367939814815,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT118384,2026-01-01 15:56:00,Hyderabad,Auto,organic_app,HYD-Z11,mid,kn,18-24,180.33609953703703,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT111710,2026-01-01 15:58:00,Bangalore,Auto,organic_app,BAN-Z10,low,en,25-34,180.33471064814816,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT105603,2026-01-01 15:58:00,Hyderabad,Cab,referral,HYD-Z14,low,hi,25-34,180.33471064814816,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT112135,2026-01-01 16:00:00,Bangalore,Auto,organic_app,BAN-Z16,mid,mr,18-24,180.33332175925926,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT113441,2026-01-01 16:09:00,Bangalore,Auto,fos_field,BAN-Z13,high,mr,18-24,180.32707175925927,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT122638,2026-01-01 16:15:00,Hyderabad,Auto,fos_field,HYD-Z08,low,en,25-34,180.3229050925926,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT121448,2026-01-01 16:16:00,Delhi,Cab,fos_field,DEL-Z15,mid,en,35-44,180.32221064814814,True,True,True,True,True,True,True,2026-01-07 20:26:59.380871068,approved,,6,2026-01-08 04:43:46.880304280,5.0,23.0,13.1,6.174298389711435,0.34499420640291667
CPT103424,2026-01-01 16:19:00,Hyderabad,Cab,organic_app,HYD-Z05,low,te,25-34,180.3201273148148,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT123958,2026-01-01 16:24:00,Hyderabad,ERickshaw,organic_app,HYD-Z14,mid,te,45+,180.31665509259258,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT104054,2026-01-01 16:40:00,Delhi,ERickshaw,paid_digital,DEL-Z23,high,mr,25-34,180.3055439814815,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT113494,2026-01-01 16:41:00,Delhi,Auto,fos_field,DEL-Z07,low,te,25-34,180.30484953703703,True,True,True,True,True,True,True,2026-01-08 04:34:03.530973387,approved,,6,2026-01-09 01:37:39.517895695,3.0,8.0,5.9,6.495179756636423,0.8774998486378242
CPT108255,2026-01-01 16:43:00,Bangalore,Cab,organic_app,BAN-Z20,high,en,35-44,180.30346064814816,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT113903,2026-01-01 16:45:00,Delhi,ERickshaw,fos_field,DEL-Z04,high,mr,18-24,180.30207175925926,True,True,True,True,False,False,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT102544,2026-01-01 16:53:00,Delhi,Auto,organic_app,DEL-Z05,low,te,18-24,180.2965162037037,True,False,True,False,False,False,True,,dropped_in_docs,AADHAAR,2,,,,,,
CPT101585,2026-01-01 16:56:00,Delhi,ERickshaw,paid_digital,DEL-Z01,mid,kn,25-34,180.29443287037037,True,True,True,True,False,False,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT117717,2026-01-01 17:08:00,Delhi,Auto,paid_digital,DEL-Z14,low,en,45+,180.28609953703705,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT124627,2026-01-01 17:08:00,Pune,ERickshaw,paid_digital,PUN-Z21,mid,hi,25-34,180.28609953703705,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT102803,2026-01-01 17:24:00,Delhi,Auto,fos_field,DEL-Z20,high,hi,18-24,180.27498842592593,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT113889,2026-01-01 17:32:00,Hyderabad,ERickshaw,organic_app,HYD-Z01,low,te,25-34,180.26943287037037,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT115779,2026-01-01 17:33:00,Hyderabad,Cab,organic_app,HYD-Z11,low,mr,25-34,180.26873842592593,True,True,True,True,True,True,True,2026-01-08 14:32:33.162801767,rejected,duplicate_captain,6,,,,,6.87468938427971,
CPT112620,2026-01-01 17:35:00,Delhi,Cab,organic_app,DEL-Z22,mid,mr,25-34,180.26734953703703,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT103397,2026-01-01 17:38:00,Pune,Auto,gc_telecalling,PUN-Z11,low,te,25-34,180.2652662037037,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT115021,2026-01-01 17:46:00,Pune,Auto,organic_app,PUN-Z13,low,mr,35-44,180.25971064814814,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT102749,2026-01-01 17:47:00,Pune,Auto,organic_app,PUN-Z03,high,te,25-34,180.2590162037037,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT103928,2026-01-01 17:51:00,Delhi,Cab,fos_field,DEL-Z04,low,mr,18-24,180.25623842592591,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT101520,2026-01-01 18:10:00,Hyderabad,Cab,fos_field,HYD-Z13,high,te,45+,180.2430439814815,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT122425,2026-01-01 18:35:00,Hyderabad,Cab,fos_field,HYD-Z21,mid,en,45+,180.22568287037038,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT113968,2026-01-01 18:39:00,Bangalore,Auto,gc_telecalling,BAN-Z07,mid,kn,35-44,180.22290509259258,True,True,True,True,True,True,True,2026-01-10 08:34:48.851873154,approved,,6,2026-01-10 12:51:19.276694685,10.0,16.0,11.8,8.580426526309653,0.17812991691586805
CPT106306,2026-01-01 18:48:00,Bangalore,Auto,referral,BAN-Z07,mid,en,25-34,180.2166550925926,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT114854,2026-01-01 18:53:00,Bangalore,Cab,organic_app,BAN-Z19,mid,mr,35-44,180.21318287037036,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT107824,2026-01-01 18:55:00,Hyderabad,Auto,organic_app,HYD-Z14,low,kn,25-34,180.2117939814815,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT123305,2026-01-01 19:01:00,Hyderabad,Auto,fos_field,HYD-Z06,mid,te,35-44,180.20762731481483,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT110483,2026-01-01 19:40:00,Bangalore,ERickshaw,organic_app,BAN-Z19,mid,te,35-44,180.1805439814815,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT118023,2026-01-01 19:57:00,Bangalore,Cab,organic_app,BAN-Z02,high,kn,25-34,180.16873842592594,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT104960,2026-01-01 20:04:00,Hyderabad,Cab,organic_app,HYD-Z14,mid,hi,25-34,180.1638773148148,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT105466,2026-01-01 20:16:00,Pune,Auto,gc_telecalling,PUN-Z01,low,te,45+,180.1555439814815,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT120812,2026-01-01 20:20:00,Pune,Auto,organic_app,PUN-Z10,high,kn,35-44,180.1527662037037,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT118479,2026-01-01 20:20:00,Hyderabad,Cab,paid_digital,HYD-Z22,high,kn,45+,180.1527662037037,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT109776,2026-01-01 20:23:00,Pune,ERickshaw,gc_telecalling,PUN-Z21,mid,te,45+,180.15068287037036,True,True,True,True,True,False,True,2026-01-07 08:58:02.076310511,approved,,5,2026-01-07 18:21:37.922407773,6.0,24.0,21.3,5.524329586927211,0.3913871076071991
CPT105349,2026-01-01 20:35:00,Bangalore,Cab,fos_field,BAN-Z23,low,hi,25-34,180.14234953703703,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT110504,2026-01-01 20:38:00,Hyderabad,Auto,organic_app,HYD-Z11,low,kn,35-44,180.1402662037037,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT115765,2026-01-01 20:43:00,Delhi,ERickshaw,fos_field,DEL-Z18,high,mr,25-34,180.13679398148147,True,True,True,True,True,False,True,2026-01-09 09:04:42.738280452,approved,,5,2026-01-11 05:21:16.602133426,4.0,9.0,5.3,7.515077989357083,1.8448363871871991
CPT116547,2026-01-01 21:02:00,Pune,Auto,fos_field,PUN-Z08,low,kn,25-34,180.12359953703702,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT117008,2026-01-01 21:09:00,Hyderabad,Cab,referral,HYD-Z04,low,mr,35-44,180.11873842592593,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT109242,2026-01-01 21:19:00,Bangalore,Cab,referral,BAN-Z16,low,hi,18-24,180.11179398148147,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT106452,2026-01-01 21:23:00,Bangalore,Auto,fos_field,BAN-Z03,mid,mr,35-44,180.1090162037037,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT119558,2026-01-01 21:40:00,Delhi,Auto,organic_app,DEL-Z05,low,kn,35-44,180.09721064814815,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT118211,2026-01-01 21:56:00,Bangalore,Cab,fos_field,BAN-Z09,mid,kn,25-34,180.08609953703703,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT104234,2026-01-01 21:56:00,Delhi,Auto,organic_app,DEL-Z24,low,mr,25-34,180.08609953703703,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT117393,2026-01-02 06:09:00,Delhi,Auto,organic_app,DEL-Z02,mid,kn,25-34,179.74373842592593,True,True,True,True,True,True,True,2026-01-07 11:50:28.755079901,approved,,6,2026-01-08 16:08:57.332338926,7.0,25.0,21.5,5.237138368980336,1.179497421979456
CPT117491,2026-01-02 06:09:00,Hyderabad,Cab,referral,HYD-Z11,low,hi,25-34,179.74373842592593,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT100006,2026-01-02 06:15:00,Pune,Auto,referral,PUN-Z05,low,en,35-44,179.73957175925926,True,True,True,True,True,True,True,2026-01-09 13:35:30.632632771,approved,,6,2026-01-10 04:28:24.963066652,10.0,34.0,23.2,7.305910099916331,0.6200732689106597
CPT113894,2026-01-02 06:15:00,Delhi,Auto,organic_app,DEL-Z17,low,mr,35-44,179.73957175925926,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT107399,2026-01-02 06:25:00,Bangalore,Cab,organic_app,BAN-Z08,low,mr,45+,179.7326273148148,True,True,True,True,True,True,True,2026-01-10 16:30:18.772030273,rejected,doc_authenticity_flag,6,,,,,8.420356157757789,
CPT115497,2026-01-02 06:34:00,Pune,Auto,referral,PUN-Z16,mid,en,35-44,179.7263773148148,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT121430,2026-01-02 06:35:00,Bangalore,Cab,paid_digital,BAN-Z07,mid,kn,18-24,179.72568287037038,True,False,False,False,False,False,False,,dropped_in_docs,DL,0,,,,,,
CPT120845,2026-01-02 07:05:00,Hyderabad,Cab,organic_app,HYD-Z06,low,en,45+,179.70484953703703,True,True,True,True,True,True,True,2026-01-09 10:58:01.773583248,rejected,doc_authenticity_flag,6,,,,,7.161826083139445,
CPT105175,2026-01-02 07:18:00,Delhi,Cab,organic_app,DEL-Z20,low,te,25-34,179.69582175925925,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT103730,2026-01-02 07:25:00,Pune,Cab,organic_app,PUN-Z14,mid,hi,35-44,179.69096064814815,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT108347,2026-01-02 07:33:00,Pune,Auto,organic_app,PUN-Z22,mid,mr,18-24,179.6854050925926,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT123063,2026-01-02 07:33:00,Pune,ERickshaw,fos_field,PUN-Z17,low,mr,45+,179.6854050925926,True,False,True,False,False,False,False,,dropped_in_docs,RC,1,,,,,,
CPT102281,2026-01-02 07:52:00,Hyderabad,Cab,fos_field,HYD-Z21,mid,kn,18-24,179.67221064814814,True,True,True,True,True,True,True,2026-01-11 20:28:47.026487964,rejected,background_check_failed,6,,,,,9.525544288055139,
CPT109629,2026-01-02 07:53:00,Pune,Auto,organic_app,PUN-Z04,low,en,18-24,179.6715162037037,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT121627,2026-01-02 08:22:00,Pune,Auto,referral,PUN-Z01,mid,te,25-34,179.65137731481482,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT104495,2026-01-02 08:37:00,Hyderabad,Auto,referral,HYD-Z24,low,en,25-34,179.64096064814814,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT119837,2026-01-02 08:45:00,Delhi,ERickshaw,fos_field,DEL-Z18,low,en,18-24,179.6354050925926,True,True,True,False,False,False,True,,dropped_in_docs,PERMIT,3,,,,,,
CPT105626,2026-01-02 08:51:00,Bangalore,Cab,referral,BAN-Z09,mid,kn,25-34,179.63123842592591,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT104855,2026-01-02 08:53:00,Hyderabad,Cab,organic_app,HYD-Z04,low,mr,25-34,179.62984953703705,True,True,True,False,False,True,True,,dropped_in_docs,FITNESS,4,,,,,,
CPT116831,2026-01-02 08:56:00,Pune,Cab,fos_field,PUN-Z02,mid,mr,25-34,179.62776620370371,True,True,True,True,True,True,True,2026-01-06 22:24:34.813774911,approved,,6,2026-01-11 23:07:44.383403927,4.0,31.0,25.8,4.561514048320729,5.029971870706204
CPT109728,2026-01-02 08:57:00,Pune,Cab,fos_field,PUN-Z02,mid,hi,18-24,179.62707175925925,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT107888,2026-01-02 09:06:00,Pune,Auto,organic_app,PUN-Z14,low,en,18-24,179.62082175925926,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
CPT109496,2026-01-02 09:22:00,Pune,Auto,organic_app,PUN-Z10,mid,hi,25-34,179.60971064814814,True,True,True,True,False,True,True,,dropped_in_docs,INSURANCE,5,,,,,,
